 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,AR,Round,Solidity
358,5_8p4_28p68:slice:23,2320,508.058,588.064,508.058,588.064,85.525,34.539,120.317,0.575,2.476,0.404,0.905
359,5_8p4_28p68:slice:23,1957,945.089,697.926,945.089,697.926,73.224,34.029,124.941,0.586,2.152,0.465,0.870
360,5_8p4_28p68:slice:23,304,1244.599,735.954,1244.599,735.954,41.594,9.306,103.429,0.453,4.470,0.224,0.856
361,5_8p4_28p68:slice:23,498,1170.149,869.610,1170.149,869.610,55.571,11.410,103.301,0.430,4.870,0.205,0.888
362,5_8p4_28p68:slice:23,409,107.422,929.654,107.422,929.654,55.240,9.427,102.663,0.374,5.860,0.171,0.865
363,5_8p4_28p68:slice:23,235,259.879,924.683,259.879,924.683,45.755,6.539,159.281,0.293,6.997,0.143,0.674
364,5_8p4_28p68:slice:23,277,650.038,962.951,650.038,962.951,38.071,9.264,98.764,0.510,4.110,0.243,0.911
365,5_8p4_28p68:slice:23,340,194.412,968.894,194.412,968.894,46.000,9.411,100.346,0.440,4.888,0.205,0.880
366,5_8p4_28p68:slice:23,277,1138.836,1008.987,1138.836,1008.987,37.718,9.351,98.331,0.507,4.034,0.248,0.892
367,5_8p4_28p68:slice:23,1773,545.847,1034.189,545.847,1034.189,81.949,27.547,114.343,0.540,2.975,0.336,0.877
368,5_8p4_28p68:slice:23,274,728.518,1168.843,728.518,1168.843,36.284,9.615,96.152,0.557,3.774,0.265,0.916
369,5_8p4_28p68:slice:23,283,121.302,1237.472,121.302,1237.472,23.845,15.111,157.022,0.443,1.578,0.634,0.701
370,5_8p4_28p68:slice:24,1198,755.795,238.518,755.795,238.518,59.370,25.692,128.739,0.589,2.311,0.433,0.879
371,5_8p4_28p68:slice:24,42,260.524,284.405,260.524,284.405,8.788,6.085,53.223,0.951,1.444,0.692,0.894
372,5_8p4_28p68:slice:24,1837,202.124,396.173,202.124,396.173,95.312,24.540,117.110,0.423,3.884,0.257,0.859
373,5_8p4_28p68:slice:24,58,1115.276,367.224,1115.276,367.224,9.598,7.694,27.950,0.960,1.248,0.802,0.913
374,5_8p4_28p68:slice:24,1904,510.057,590.068,510.057,590.068,88.059,27.530,122.997,0.524,3.199,0.313,0.882
375,5_8p4_28p68:slice:24,1494,946.649,701.004,946.649,701.004,77.520,24.539,131.131,0.522,3.159,0.317,0.880
376,5_8p4_28p68:slice:24,151,1246.811,739.712,1246.811,739.712,18.596,10.339,35.848,0.834,1.799,0.556,0.907
377,5_8p4_28p68:slice:24,313,1172.433,876.219,1172.433,876.219,23.266,17.129,38.859,0.840,1.358,0.736,0.921
378,5_8p4_28p68:slice:24,235,259.934,924.709,259.934,924.709,45.945,6.512,159.296,0.289,7.055,0.142,0.670
379,5_8p4_28p68:slice:24,189,109.336,934.230,109.336,934.230,23.195,10.375,33.140,0.752,2.236,0.447,0.900
380,5_8p4_28p68:slice:24,146,651.404,967.027,651.404,967.027,18.647,9.969,24.723,0.815,1.870,0.535,0.927
381,5_8p4_28p68:slice:24,169,195.831,973.104,195.831,973.104,21.109,10.194,29.740,0.770,2.071,0.483,0.901
382,5_8p4_28p68:slice:24,1648,545.728,1036.862,545.728,1036.862,81.459,25.759,113.687,0.532,3.162,0.316,0.885
383,5_8p4_28p68:slice:24,142,1139.986,1013.085,1139.986,1013.085,18.187,9.941,23.426,0.812,1.829,0.547,0.910
384,5_8p4_28p68:slice:24,146,730.062,1172.432,730.062,1172.432,18.850,9.861,17.456,0.815,1.912,0.523,0.921
385,5_8p4_28p68:slice:24,282,121.273,1237.475,121.273,1237.475,23.799,15.087,156.833,0.433,1.577,0.634,0.699
386,5_8p4_28p68:slice:25,741,757.590,240.437,757.590,240.437,61.486,15.344,128.349,0.496,4.007,0.250,0.855
387,5_8p4_28p68:slice:25,43,260.430,283.081,260.430,283.081,9.211,5.944,52.644,0.974,1.550,0.645,0.925
388,5_8p4_28p68:slice:25,1757,202.229,396.320,202.229,396.320,93.815,23.846,114.398,0.436,3.934,0.254,0.870
389,5_8p4_28p68:slice:25,60,1115.250,367.133,1115.250,367.133,9.736,7.846,27.908,0.952,1.241,0.806,0.930
390,5_8p4_28p68:slice:25,1586,510.118,592.409,510.118,592.409,86.529,23.337,119.323,0.486,3.708,0.270,0.884
391,5_8p4_28p68:slice:25,916,945.468,702.525,945.468,702.525,85.328,13.668,125.078,0.355,6.243,0.160,0.861
392,5_8p4_28p68:slice:25,255,1246.520,742.802,1246.520,742.802,33.451,9.706,131.781,0.595,3.446,0.290,0.876
393,5_8p4_28p68:slice:25,451,1171.873,878.589,1171.873,878.589,46.941,12.233,129.248,0.538,3.837,0.261,0.894
394,5_8p4_28p68:slice:25,237,259.994,924.711,259.994,924.711,46.018,6.557,159.343,0.291,7.018,0.142,0.675
395,5_8p4_28p68:slice:25,341,110.139,936.902,110.139,936.902,44.112,9.843,132.235,0.496,4.482,0.223,0.873
396,5_8p4_28p68:slice:25,272,651.945,968.688,651.945,968.688,36.496,9.489,129.489,0.542,3.846,0.260,0.869
397,5_8p4_28p68:slice:25,315,196.865,975.383,196.865,975.383,40.939,9.797,130.814,0.517,4.179,0.239,0.857
398,5_8p4_28p68:slice:25,1640,547.069,1038.349,547.069,1038.349,78.729,26.523,112.627,0.552,2.968,0.337,0.900
399,5_8p4_28p68:slice:25,272,1140.684,1014.982,1140.684,1014.982,36.692,9.439,128.606,0.531,3.887,0.257,0.870
400,5_8p4_28p68:slice:25,291,731.335,1173.813,731.335,1173.813,38.891,9.527,127.522,0.515,4.082,0.245,0.866
